"temp","prod","sea"
-1.830892144,0.059,"ross"
-1.790945406,0.059,"ross"
-1.870838881,0.079,"ross"
-1.870838881,0.089,"ross"
-1.950732357,0.15,"ross"
-1.910785619,0.176,"ross"
-1.03195739,0.174,"ross"
-1.071904128,0.212,"ross"
-1.830892144,0.212,"ross"
-1.910785619,0.229,"ross"
-1.990679095,0.278,"ross"
-1.151797603,0.272,"ross"
-1.750998668,0.353,"ross"
-1.790945406,0.411,"ross"
-1.431424767,0.407,"ross"
-1.830892144,0.479,"ross"
-1.431424767,0.495,"ross"
-1.790945406,0.564,"ross"
-2.030625832,0.671,"ross"
-1.191744341,0.79,"ross"
-1.990679095,0.834,"ross"
-1.950732357,1.182,"ross"
-0.5126498,1.107,"ross"
-0.552596538,1.361,"ross"
-0.073235686,0.951,"ross"
-0.632490013,1.767,"ross"
0.00665779,2.643,"ross"
-0.193075899,3.214,"ross"
0.126498003,3.214,"ross"
-0.552596538,4.128,"ross"
0.206391478,4.128,"ross"
-1.750998668,0.145,"west_arctic"
-1.591211718,0.145,"west_arctic"
-1.790945406,0.169,"west_arctic"
-1.391478029,0.169,"west_arctic"
-0.712383489,0.15,"west_arctic"
-1.431424767,0.198,"west_arctic"
-1.391478029,0.249,"west_arctic"
-1.351531292,0.3,"west_arctic"
-1.711051931,0.338,"west_arctic"
-1.711051931,0.377,"west_arctic"
-1.511318242,0.434,"west_arctic"
-1.03195739,0.506,"west_arctic"
-1.711051931,0.49,"west_arctic"
-1.591211718,0.546,"west_arctic"
-1.311584554,0.564,"west_arctic"
-0.912117177,0.583,"west_arctic"
-0.792276964,0.517,"west_arctic"
-1.711051931,0.657,"west_arctic"
-1.631158455,0.693,"west_arctic"
-1.471371505,0.678,"west_arctic"
-1.391478029,0.643,"west_arctic"
-0.792276964,0.657,"west_arctic"
-0.792276964,0.709,"west_arctic"
-0.832223702,0.724,"west_arctic"
-0.912117177,0.765,"west_arctic"
-1.111850866,0.781,"west_arctic"
-1.631158455,0.834,"west_arctic"
-1.391478029,0.825,"west_arctic"
-1.511318242,1.004,"west_arctic"
-1.231691079,0.982,"west_arctic"
-1.231691079,1.156,"west_arctic"
-0.992010652,1.06,"west_arctic"
0.605858855,0.517,"west_arctic"
1.005326232,0.693,"west_arctic"
0.725699068,0.756,"west_arctic"
-0.113182423,0.93,"west_arctic"
0.046604527,0.961,"west_arctic"
-0.272969374,1.083,"west_arctic"
-0.272969374,1.248,"west_arctic"
0.046604527,1.376,"west_arctic"
-1.471371505,1.289,"west_arctic"
-1.471371505,1.422,"west_arctic"
-0.992010652,1.485,"west_arctic"
-0.792276964,1.501,"west_arctic"
-1.191744341,1.729,"west_arctic"
-1.790945406,1.551,"west_arctic"
-1.271637816,2.221,"west_arctic"
-1.311584554,2.345,"west_arctic"
0.00665779,8.016,"west_arctic"
-0.552596538,7.112,"west_arctic"
-0.033288948,5.021,"west_arctic"
-0.392809587,3.663,"west_arctic"
-0.792276964,3.663,"west_arctic"
-0.432756325,2.643,"west_arctic"
0.68575233,1.907,"west_arctic"
0.885486019,1.568,"west_arctic"
1.125166445,1.422,"west_arctic"
2.723035952,1.501,"west_arctic"
4.081225033,1.585,"west_arctic"
4.48069241,1.332,"west_arctic"
5.479360852,1.534,"west_arctic"
5.758988016,2.058,"west_arctic"
1.764314248,3.214,"west_arctic"
1.524633822,4.455,"west_arctic"
5.439414115,5.076,"west_arctic"
5.439414115,7.348,"west_arctic"
5.279627164,2.396,"subarctic_pacific"
5.279627164,2.946,"subarctic_pacific"
5.798934754,7.428,"subarctic_pacific"
5.758988016,10.073,"subarctic_pacific"
5.798934754,13.078,"subarctic_pacific"
5.719041278,17.353,"subarctic_pacific"
8.355525965,14.74,"subarctic_pacific"
10.35286285,9.964,"subarctic_pacific"
10.35286285,8.84,"subarctic_pacific"
8.155792277,7.348,"subarctic_pacific"
8.315579228,6.809,"subarctic_pacific"
8.395472703,6.107,"subarctic_pacific"
9.633821571,0.636,"north_atlantic"
13.38881491,4.967,"north_atlantic"
13.50865513,6.59,"north_atlantic"
12.98934754,8.103,"north_atlantic"
13.54860186,11.988,"north_atlantic"
13.10918775,11.858,"north_atlantic"
13.30892144,12.936,"north_atlantic"
13.66844208,13.221,"north_atlantic"
13.2689747,15.229,"north_atlantic"
13.34886818,15.734,"north_atlantic"
13.42876165,16.614,"north_atlantic"
20.45938748,12.119,"arabian"
23.17576565,18.726,"arabian"
25.21304927,19.773,"arabian"
25.97203728,21.106,"arabian"
24.33422104,11.988,"arabian"
24.6138482,13.512,"arabian"
26.0918775,13.659,"arabian"
27.88948069,15.564,"arabian"
27.84953395,11.988,"arabian"
27.13049268,12.119,"arabian"
25.73235686,9.856,"arabian"
26.13182423,9.54,"arabian"
25.01331558,7.929,"arabian"
25.7723036,7.843,"arabian"
26.61118509,7.929,"arabian"
26.77097204,7.591,"arabian"
27.64980027,6.735,"arabian"
27.64980027,6.519,"arabian"
27.09054594,5.36,"arabian"
26.29161119,5.847,"arabian"
24.81358189,5.784,"arabian"
24.13448735,4.913,"arabian"
24.89347537,4.455,"arabian"
25.93209055,2.103,"arabian"
23.41544607,5.188,"equatorial_pacific"
23.73501997,4.86,"equatorial_pacific"
23.85486019,4.755,"equatorial_pacific"
24.37416778,4.913,"equatorial_pacific"
25.17310253,4.173,"equatorial_pacific"
26.4114514,3.18,"equatorial_pacific"
26.4114514,3.91,"equatorial_pacific"
26.49134487,4.86,"equatorial_pacific"
25.21304927,5.598,"equatorial_pacific"
24.05459387,6.041,"equatorial_pacific"
24.2942743,6.041,"equatorial_pacific"
24.85352863,6.174,"equatorial_pacific"
23.53528628,6.959,"equatorial_pacific"
23.89480692,6.959,"equatorial_pacific"
24.2942743,6.662,"equatorial_pacific"
24.49400799,6.959,"equatorial_pacific"
24.49400799,7.509,"equatorial_pacific"
24.81358189,6.959,"equatorial_pacific"
24.17443409,7.674,"equatorial_pacific"
24.2942743,8.103,"equatorial_pacific"
23.69507324,8.103,"equatorial_pacific"
23.69507324,8.464,"equatorial_pacific"
23.73501997,8.84,"equatorial_pacific"
24.09454061,9.133,"equatorial_pacific"
24.49400799,9.233,"equatorial_pacific"
24.01464714,13.078,"equatorial_pacific"
28.32889481,4.913,"equatorial_pacific"
28.60852197,5.598,"equatorial_pacific"
28.16910786,6.107,"equatorial_pacific"
28.36884154,6.448,"equatorial_pacific"
27.88948069,6.959,"equatorial_pacific"
28.12916112,7.674,"equatorial_pacific"
28.40878828,7.268,"equatorial_pacific"
28.60852197,7.674,"equatorial_pacific"
28.64846871,7.758,"equatorial_pacific"
28.64846871,8.103,"equatorial_pacific"
28.48868176,8.464,"equatorial_pacific"
28.72836218,9.644,"equatorial_pacific"
27.64980027,8.016,"equatorial_pacific"
27.689747,8.016,"equatorial_pacific"
27.96937417,8.016,"equatorial_pacific"
28.04926764,9.133,"equatorial_pacific"
28.24900133,9.436,"equatorial_pacific"
27.689747,9.644,"equatorial_pacific"
27.21038615,9.54,"equatorial_pacific"
27.41011984,10.407,"equatorial_pacific"
27.689747,10.752,"equatorial_pacific"
28.08921438,11.109,"equatorial_pacific"
27.64980027,11.858,"equatorial_pacific"
27.72969374,12.796,"equatorial_pacific"
27.72969374,13.809,"equatorial_pacific"
27.41011984,7.929,"equatorial_pacific"
25.7723036,7.348,"equatorial_pacific"
